"id_perusahaan","nama_perusahaan","kategori_bidang","spesialisasi_bidang","kota_sumsel","deskripsi_singkat","prediksi_skill_dibutuhkan","sumber_data"
"PSM001","PT Pertamina (Persero) - Unit Sumsel","Energi","Minyak & Gas Bumi (Hulu & Hilir)","Palembang","Badan Usaha Milik Negara (BUMN) yang bergerak di bidang energi terintegrasi, meliputi eksplorasi, produksi, pengolahan, distribusi, dan pemasaran minyak, gas, serta energi baru terbarukan di wilayah Sumatera Selatan.","Teknik Perminyakan;Teknik Kimia (Pengolahan);Manajemen Proyek Energi;K3 Migas;Analisis Data Operasional;Supply Chain Management Energi;Geosains","Transkripsi Gambar & Riset"
"PSM002","PT Pupuk Sriwidjaja Palembang","Manufaktur","Pupuk & Petrokimia","Palembang","Produsen pupuk urea dan industri kimia lainnya, merupakan anak perusahaan BUMN PT Pupuk Indonesia (Persero), berbasis di Palembang.","Teknik Kimia;Teknik Mesin Industri;Teknik Elektro (Arus Kuat);Proses Produksi Pupuk;Manajemen Kualitas (QC/QA);SAP PP/MM;Instrumentasi & Kontrol Proses;Logistik Industri","Transkripsi Gambar & Riset"
"PSM003","PT Bukit Asam Tbk","Pertambangan","Batubara","Muara Enim;Palembang","BUMN yang bergerak di bidang pertambangan batubara, termasuk eksplorasi, produksi, pengangkutan, dan perdagangan batubara.","Teknik Pertambangan;Geologi Batubara;Manajemen Lingkungan Tambang;Operasional Alat Berat;GIS & Pemetaan Tambang;Perencanaan Tambang Jangka Panjang/Pendek;Reklamasi Lahan Tambang","Transkripsi Gambar & Riset"
"PSM004","PT Semen Baturaja (Persero) Tbk","Material Konstruksi","Semen","Baturaja (OKU);Palembang","Produsen semen terkemuka di Sumatera Bagian Selatan, merupakan BUMN yang fokus pada produksi dan distribusi berbagai jenis semen.","Teknik Sipil;Teknik Mesin Produksi Semen;Teknik Kimia (Proses Semen);Manajemen Kualitas Semen;Operasional Pabrik Semen;Distribusi & Logistik Material Konstruksi;R&D Produk Semen","Transkripsi Gambar & Riset"
"PSM006","PT Telekomunikasi Indonesia Tbk (Telkom) - Witel Sumsel","Teknologi & Telekomunikasi","Layanan Telekomunikasi & Digital","Palembang","BUMN penyedia layanan telekomunikasi dan digital terbesar di Indonesia, melayani berbagai segmen pelanggan di Sumatera Selatan.","Teknik Telekomunikasi;Jaringan Akses (Fiber Optik; Tembaga);Teknologi Informasi & Komunikasi (TIK);Cloud Computing (Dasar);Manajemen Layanan IT (ITSM);Pemasaran Produk Digital;Layanan Pelanggan Korporat & Ritel","Transkripsi Gambar & Riset"
"PSM007","PT Bank Sumsel Babel","Perbankan","Layanan Keuangan & Perbankan Daerah","Palembang","Bank Pembangunan Daerah (BPD) Provinsi Sumatera Selatan dan Bangka Belitung, menyediakan berbagai produk dan layanan perbankan.","Analisis Kredit (Konsumer; UKM; Korporat);Manajemen Risiko Perbankan;Pemasaran Produk Perbankan;Layanan Nasabah Prima;Akuntansi Perbankan;Operasional Cabang Bank;Perbankan Digital;Hukum Perbankan","Transkripsi Gambar & Riset"
"PSM008","PT Perkebunan Nusantara VII (Persero) - Unit Sumsel","Agribisnis","Perkebunan Komoditas Ekspor","Beberapa Kabupaten di Sumsel","Bagian dari Holding Perkebunan Nusantara, mengelola perkebunan komoditas seperti karet, kelapa sawit, dan teh di wilayah Sumatera Selatan.","Agronomi Tanaman Karet/Sawit/Teh;Manajemen Perkebunan Skala Besar;Pengolahan Hasil Perkebunan (Primer);HSE Perkebunan;Mekanisasi Pertanian;GIS untuk Perkebunan;Community Development Perkebunan","Transkripsi Gambar & Riset"
"PSM009","PT Kereta Api Indonesia (Persero) - Divisi Regional III Palembang","Transportasi","Transportasi Darat (Perkeretaapian)","Palembang","Operator layanan transportasi kereta api penumpang dan barang di wilayah Divisi Regional III, mencakup Sumatera Selatan dan sebagian Lampung.","Manajemen Transportasi Darat;Operasional Perkeretaapian;Teknik Sarana Kereta Api (Lokomotif; Gerbong);Teknik Prasarana Kereta Api (Rel; Jembatan);Sistem Persinyalan Kereta Api;Layanan Penumpang Kereta;Logistik Barang via Kereta","Transkripsi Gambar & Riset"
"PSM010","PT Pelabuhan Indonesia (Persero) - Regional 2 Palembang","Logistik & Transportasi","Layanan Kepelabuhanan","Palembang","Operator pelabuhan yang menyediakan layanan bongkar muat barang, terminal peti kemas, dan jasa kepelabuhanan lainnya di Palembang.","Manajemen Logistik Maritim;Operasional Terminal Peti Kemas/Curah;Kepabeanan & Prosedur Ekspor-Impor;Manajemen Rantai Pasok Pelabuhan;HSE Pelabuhan;Sistem Informasi Pelabuhan","Transkripsi Gambar & Riset"
"PSM011","PT Angkasa Pura II (Persero) - Bandara Sultan Mahmud Badaruddin II","Transportasi","Transportasi Udara (Pengelola Bandara)","Palembang","Pengelola Bandara Internasional Sultan Mahmud Badaruddin II Palembang, menyediakan fasilitas dan layanan kebandarudaraan.","Manajemen Operasional Bandara;Layanan Penerbangan (Passenger Handling; Ground Handling);Keamanan Penerbangan (AVSEC);Air Traffic Services (Dasar);Manajemen Fasilitas Bandara;Pemasaran & Komersial Bandara","Transkripsi Gambar & Riset"
"PSM013","PT Asuransi Jasa Indonesia (Jasindo) - Cabang Palembang","Asuransi","Asuransi Umum","Palembang","Perusahaan asuransi umum milik negara yang menyediakan berbagai produk asuransi kerugian seperti kebakaran, kendaraan, dan pengangkutan.","Underwriting Asuransi Umum;Manajemen Klaim Asuransi;Pemasaran Produk Asuransi;Analisis Risiko Asuransi;Hukum Asuransi;Reasuransi (Dasar)","Transkripsi Gambar & Riset"
"PSM014","PT Waskita Karya (Persero) Tbk - Proyek Sumsel","Konstruksi","Infrastruktur & Bangunan","Palembang; lokasi proyek","BUMN konstruksi yang mengerjakan berbagai proyek infrastruktur strategis dan bangunan di Sumatera Selatan.","Teknik Sipil (Struktur; Jalan; Jembatan; Air);Manajemen Proyek Konstruksi;Estimasi Biaya Proyek (Quantity Surveyor);Metode Pelaksanaan Konstruksi;AutoCAD & Software Desain Teknik;HSE Konstruksi;Manajemen Kontrak Konstruksi","Transkripsi Gambar & Riset"
"PSM015","PT Hutama Karya (Persero) - Proyek Tol Trans Sumatera","Konstruksi","Infrastruktur Jalan Tol","Palembang; lokasi proyek","BUMN konstruksi yang fokus pada pembangunan infrastruktur, terutama Jalan Tol Trans Sumatera di wilayah Sumatera Selatan.","Teknik Sipil (Jalan Tol & Jembatan);Manajemen Proyek Jalan Tol;Teknologi Konstruksi Jalan;Survei & Pemetaan Lahan Tol;Manajemen Lalu Lintas Proyek;Pengadaan & Kontrak Konstruksi Tol","Transkripsi Gambar & Riset"
"PSM016","PT OKI Pulp & Paper Mills (APP Sinar Mas)","Manufaktur","Industri Pulp & Kertas","Ogan Komering Ilir (OKI)","Salah satu pabrik pulp dan kertas terbesar di Asia, memproduksi berbagai jenis pulp, kertas industri, dan tisu.","Teknologi Produksi Pulp;Teknologi Produksi Kertas;Teknik Mesin Industri Berat;Teknik Kimia Proses Pulp & Kertas;Manajemen Energi & Utilitas Pabrik Besar;Pengolahan Limbah Industri Pulp & Kertas;Sistem Kontrol Proses (DCS)","Transkripsi Gambar & Riset"
"PSM017","PT Bank Central Asia Tbk (BCA) - Kantor Wilayah VI Palembang","Perbankan","Layanan Keuangan & Perbankan Swasta","Palembang","Salah satu bank swasta terbesar di Indonesia, menyediakan berbagai layanan perbankan konsumer, komersial, dan korporat di Sumsel.","Analisis Kredit (Konsumer; Komersial);Wealth Management;Digital Banking Product Management;Operasional Perbankan Modern;Customer Relationship Management (CRM);Treasury (Dasar);Manajemen Risiko Perbankan Swasta","Transkripsi Gambar & Riset"
"PSM018","PT Charoen Pokphand Indonesia Tbk - Unit Sumsel","Agribisnis","Industri Pakan Ternak & Peternakan Terpadu","Beberapa lokasi di Sumsel","Perusahaan agribisnis terkemuka yang bergerak di bidang produksi pakan ternak, pembibitan ayam, pengolahan ayam, dan makanan olahan.","Nutrisi Ternak Unggas/Ikan;Teknologi Produksi Pakan;Manajemen Peternakan Ayam (Broiler/Layer);Kesehatan Hewan & Biosecurity;Quality Control Pakan & Produk Ternak;Sales & Marketing Pakan/DOC","Transkripsi Gambar & Riset"
"PSM019","Universitas Sriwijaya (UNSRI)","Pendidikan","Pendidikan Tinggi & Penelitian","Palembang; Indralaya","Perguruan tinggi negeri terbesar dan tertua di Sumatera Selatan, menawarkan berbagai program studi dan kegiatan penelitian.","Administrasi Akademik & Kemahasiswaan;Manajemen Penelitian & Publikasi Ilmiah;Pengembangan Kurikulum;Sistem Informasi Akademik;Kerjasama Universitas & Industri;Perpustakaan Digital & Literasi Informasi;Pengabdian Masyarakat","Transkripsi Gambar & Riset"
"PSM020","PT Medco E&P Indonesia - South Sumatra Block","Energi","Minyak & Gas Bumi (Hulu)","Beberapa lokasi di Sumsel","Perusahaan energi swasta nasional yang bergerak di bidang eksplorasi dan produksi minyak dan gas bumi di blok Sumatera Selatan.","Teknik Perminyakan (Produksi/Reservoir);Operasi Lapangan Migas;Geologi & Geofisika Eksplorasi;Fasilitas Produksi Migas;HSE Operasi Migas;Manajemen Proyek Pengeboran;Analisis Ekonomi Migas","Transkripsi Gambar & Riset"
"PSM022","PT Sriwijaya Optimis Mandiri (Sriwijaya FC)","Olahraga & Hiburan","Klub Sepak Bola Profesional","Palembang","Klub sepak bola profesional yang berbasis di Palembang, berlaga di kompetisi sepak bola nasional.","Manajemen Klub Olahraga;Pemasaran & Sponsorship Olahraga;Media & Komunikasi Olahraga;Manajemen Event Pertandingan;Fisioterapi Olahraga (Dasar);Scouting & Analisis Pemain (Dasar)","Riset Tambahan"
"PSM023","PT PLN Nusantara Power - Pembangkitan Sumsel","Utilitas","Ketenagalistrikan (Pembangkitan)","Beberapa lokasi di Sumsel","Anak perusahaan PLN yang fokus pada operasional dan pemeliharaan unit-unit pembangkit tenaga listrik di wilayah Sumatera Selatan.","Operasi Pembangkit Listrik (PLTU; PLTG; PLTA);Pemeliharaan Mesin Pembangkit;Pemeliharaan Listrik Pembangkit;Sistem Kontrol Pembangkit (PLC/DCS);Efisiensi Energi Pembangkit;K3 Lingkungan Pembangkitan","Riset Tambahan"
"PSM024","PT Citra Sriwijaya Tol (Group Astra Infra)","Konstruksi & Infrastruktur","Operator Jalan Tol","Palembang; Kayu Agung","Badan Usaha Jalan Tol (BUJT) yang mengoperasikan ruas tol Kayu Agung - Palembang - Betung (Kapal Betung).","Manajemen Operasional Jalan Tol;Sistem Transaksi Tol Elektronik;Pemeliharaan Infrastruktur Jalan Tol;Manajemen Lalu Lintas Tol;Layanan Pengguna Jalan Tol;Manajemen Aset Jalan Tol","Riset Tambahan"
"PSM025","PT Sinarmas Forestry - Unit Sumsel","Agribisnis & Kehutanan","Hutan Tanaman Industri (HTI)","Beberapa lokasi di Sumsel","Bagian dari grup Sinarmas yang mengelola Hutan Tanaman Industri untuk pasokan bahan baku industri pulp dan kertas.","Manajemen Hutan Tanaman Industri (Acacia; Eucalyptus);Silvikultur & Pembibitan;Perencanaan Kehutanan & Inventarisasi Hutan;Pemetaan GIS/Remote Sensing Kehutanan;Perlindungan Hutan & Pengendalian Kebakaran;Sertifikasi Kehutanan Lestari (FSC/PEFC)","Riset Tambahan"
"PSM027","Hotel Aryaduta Palembang","Perhotelan & Pariwisata","Akomodasi & Layanan Perhotelan","Palembang","Hotel bintang lima yang menawarkan layanan akomodasi, MICE (Meeting, Incentive, Convention, Exhibition), dan kuliner.","Manajemen Operasional Hotel;Front Office Management;Food & Beverage Service/Production;Housekeeping Management;Sales & Marketing Perhotelan;Manajemen Event & Banquet;Guest Relations","Riset Tambahan"
"PSM028","PT Japfa Comfeed Indonesia Tbk - Unit Sumsel","Agribisnis","Peternakan Terpadu & Pakan","Beberapa lokasi di Sumsel","Perusahaan agribisnis yang bergerak di bidang pakan ternak, peternakan ayam, ikan, dan produk makanan olahan.","Manajemen Produksi Pakan Ternak;Budidaya Ternak Ayam (Breeding/Broiler);Budidaya Ikan Air Tawar/Payau;Kesehatan Hewan Ternak & Akuakultur;Quality Control Produk Peternakan;Rantai Dingin Distribusi Produk Segar/Beku","Riset Tambahan"
"PSM029","Rumah Sakit Umum Pusat Dr. Mohammad Hoesin","Kesehatan","Layanan Kesehatan Rujukan Nasional","Palembang","Rumah sakit vertikal milik Kementerian Kesehatan, menjadi pusat rujukan nasional dan pendidikan kedokteran di Sumatera Selatan.","Manajemen Pelayanan Medis & Keperawatan;Administrasi Rumah Sakit;Rekam Medis & Sistem Informasi RS;Farmasi Klinis & Manajemen Obat;Penunjang Medis (Laboratorium; Radiologi);Penelitian Kesehatan","Riset Tambahan"
"PSM030","PT Bank Syariah Indonesia Tbk (BSI) - Area Palembang","Perbankan","Layanan Keuangan & Perbankan Syariah","Palembang","Bank syariah terbesar di Indonesia, hasil merger beberapa bank syariah BUMN, menyediakan produk dan layanan berbasis prinsip syariah.","Prinsip & Produk Perbankan Syariah;Analisis Pembiayaan Syariah (Murabahah; Mudharabah; Musyarakah);Manajemen Dana Pihak Ketiga Syariah;Pemasaran Produk Keuangan Syariah;Operasional Bank Syariah;Audit Kepatuhan Syariah","Riset Tambahan"
"PSM031","PT GoTo Gojek Tokopedia Tbk - Operasional Palembang","Teknologi & Layanan","Platform Digital Multi-Layanan","Palembang","Perusahaan teknologi yang menyediakan layanan on-demand (transportasi, logistik, pembayaran), e-commerce, dan financial technology.","Manajemen Operasional Platform Digital;Akuisisi & Manajemen Merchant/Driver;Pemasaran Digital Lokal;Analisis Data Perilaku Pengguna Lokal;Layanan Pelanggan Platform;Pengembangan Komunitas Pengguna/Mitra","Riset Tambahan"
"PSM032","PT Erajaya Swasembada Tbk - Retail Area Palembang","Ritel","Distribusi & Ritel Produk Digital & Gaya Hidup","Palembang","Distributor dan peritel besar produk telekomunikasi (handphone, gadget), IoT, dan produk gaya hidup digital lainnya.","Manajemen Ritel Modern;Visual Merchandising;Manajemen Inventaris Ritel;Pemasaran Produk Gadget & Elektronik;Layanan Pelanggan Ritel;Analisis Penjualan Ritel","Riset Tambahan"
"PSM033","Dinas Komunikasi dan Informatika Provinsi Sumatera Selatan","Layanan Publik","Teknologi Informasi & Komunikasi Pemerintahan","Palembang","Instansi pemerintah daerah yang bertanggung jawab atas pengelolaan TIK, persandian, statistik sektoral, dan diseminasi informasi publik.","Pengembangan & Pengelolaan Aplikasi Pemerintahan (e-Government);Manajemen Jaringan & Infrastruktur TIK Pemerintah;Keamanan Informasi Pemerintah (Dasar);Analisis & Tata Kelola Data Pemerintah;Komunikasi Publik & Kehumasan Pemerintah","Riset Tambahan"
"PSM034","Balai Besar Wilayah Sungai Sumatera VIII","Layanan Publik","Pengelolaan Sumber Daya Air","Palembang","Unit pelaksana teknis Kementerian PUPR yang bertugas mengelola sumber daya air di wilayah sungai Sumatera VIII, termasuk Sumsel.","Teknik Sipil Sumber Daya Air (Irigasi; Drainase; Bendungan);Hidrologi & Hidrometri;Perencanaan & Pengelolaan DAS;Operasi & Pemeliharaan Infrastruktur Air;GIS untuk Sumber Daya Air","Riset Tambahan"
"PSM035","PT Musi Banyuasin Electric Power (BUMD Muba)","Energi","Ketenagalistrikan Lokal","Sekayu (Muba)","Badan Usaha Milik Daerah Kabupaten Musi Banyuasin yang bergerak di bidang penyediaan tenaga listrik lokal.","Teknik Distribusi Tenaga Listrik Skala Kecil;Manajemen Operasional Pembangkit Listrik Lokal (Diesel/Gas);Pelayanan Pelanggan Listrik Pedesaan;Manajemen Keuangan BUMD Energi","Riset Tambahan"
"PSM036","PT Telkomsel - Regional Sumbagsel","Teknologi & Telekomunikasi","Layanan Komunikasi Seluler","Palembang","Operator layanan telekomunikasi seluler terbesar di Indonesia, melayani wilayah Sumatera Bagian Selatan.","Teknologi Jaringan Seluler (4G LTE; 5G);Optimalisasi Jaringan Radio (RF Optimization);Pemasaran Produk & Layanan Seluler;Manajemen Kanal Penjualan (Direct/Indirect);Analisis Data Pelanggan Seluler (Customer Analytics);Layanan Pelanggan Digital","Riset Tambahan"
"PSM037","PT Sriwijaya Air - Kantor Palembang","Transportasi","Transportasi Udara (Maskapai)","Palembang","Maskapai penerbangan nasional yang melayani rute domestik dan beberapa rute internasional, dengan salah satu hub operasional di Palembang.","Manajemen Operasi Penerbangan;Sales & Ticketing Maskapai;Ground Operations & Customer Handling;Basic Aircraft Maintenance Awareness;Flight Dispatch (Dasar);Safety Management System (SMS) Maskapai","Riset Tambahan"
"PSM038","PT Askrindo (Asuransi Kredit Indonesia) - Cabang Palembang","Asuransi","Asuransi Kredit & Penjaminan","Palembang","BUMN yang bergerak di bidang asuransi kredit, penjaminan kredit UMKM, dan surety bond.","Analisis Kelayakan Kredit Usaha;Underwriting Asuransi Kredit;Manajemen Risiko Kredit;Pemasaran Produk Penjaminan;Klaim Asuransi Kredit;Hukum Bisnis & Jaminan","Riset Tambahan"
"PSM039","Otoritas Jasa Keuangan (OJK) - Kantor Regional 7 Sumbagsel","Regulator Keuangan","Pengawasan Sektor Jasa Keuangan","Palembang","Lembaga independen yang mengawasi seluruh kegiatan di dalam sektor jasa keuangan (perbankan, pasar modal, IKNB) di Sumbagsel.","Regulasi Sektor Jasa Keuangan;Analisis Laporan Keuangan Lembaga Jasa Keuangan;Pengawasan Kepatuhan (Compliance);Perlindungan Konsumen Keuangan;Literasi & Edukasi Keuangan","Riset Tambahan"
"PSM040","Lembaga Penyiaran Publik Radio Republik Indonesia (LPP RRI) Palembang","Media & Penyiaran","Penyiaran Radio Publik","Palembang","Stasiun radio publik nasional yang menyiarkan program berita, informasi, hiburan, dan budaya untuk wilayah Palembang dan sekitarnya.","Teknik Penyiaran Radio (Audio Engineering);Jurnalisme Radio & Produksi Program;Manajemen Siaran Radio;Pemasaran & Kerjasama Program Radio;Digitalisasi Konten Radio & Podcast","Riset Tambahan"
